post_url,comment
https://x.com/jairbolsonaro/status/1944427626661130592/photo/1,DEFENDA O BRASIL DO MORAES
https://x.com/jairbolsonaro/status/1944427626661130592/photo/1,#brasilsoberano
https://x.com/jairbolsonaro/status/1944427626661130592/photo/1,"cada vez que vc tenta desmerecer antigos oponentes que hj são aliados, só reforça o quanto foi importante terem se unido contra a possibilidade de uma escória da magnitude de vossa excremecência se perpetuar no poder

tudo é por causa de vc
(embora não da maneira que vc gostaria)"
https://x.com/jairbolsonaro/status/1944427626661130592/photo/1,CANALHA DESPREZÍVEL.
https://x.com/jairbolsonaro/status/1944427626661130592/photo/1,"Viu, funciona, assim que vc for preso e vc vai ser preso, vão te esquecer em dois tempos e tudo voltará ao normal

ANISTIA E O MEU CARALHO 
LUGAR DE GOLPISTA É NA CADEIA"
https://x.com/jairbolsonaro/status/1944427626661130592/photo/1,Sério que você quer bater boca com o Alckmin nas redes???
https://x.com/jairbolsonaro/status/1944427626661130592/photo/1,E tu soltou para livrar o rabo de palha da família.
https://x.com/jairbolsonaro/status/1944427626661130592/photo/1,SOMOS TODOS BOLSONARO
https://x.com/jairbolsonaro/status/1944427626661130592/photo/1,Na avaliação de todo brasileiro de bem !!!
https://x.com/jairbolsonaro/status/1944427626661130592/photo/1,"Um picareta dos piores, falso.Pena dos familiares carregando esse sobrenome"
https://x.com/jairbolsonaro/status/1945893789987635475/photo/1,"Frouxonaro, vc merece!"
https://x.com/jairbolsonaro/status/1945893789987635475/photo/1,Grande dia!
https://x.com/jairbolsonaro/status/1945893789987635475/photo/1,"Você é um Zé Ruela, teve o Ladrão dentro da Gaiola e não finalizou ele. Agora se ele te colocar na gaiola, ja era, inimigo se destrói e não deixa respirar, torce pra não ir preso, vc não vai durar 1 semana vivo q o rato aleijado vai fazer covardia"
https://x.com/jairbolsonaro/status/1945893789987635475/photo/1,Vai ser preso.
https://x.com/jairbolsonaro/status/1945893789987635475/photo/1,"Uma condenação justa seria de 222 anos em regime fechado sem progressão de pena. Vc é um dos maiores criminosos do Brasil. Esses 222 anos somente nesse processo, muitos processos ainda virão, Deus não dorme."
https://x.com/jairbolsonaro/status/1945893789987635475/photo/1,Salvem o Brasil do PT
https://x.com/jairbolsonaro/status/1945893789987635475/photo/1,Negocia com que? Que nem vergonha tu tem???
https://x.com/jairbolsonaro/status/1945893789987635475/photo/1,"O Lula não manda nada, é apenas um fantoche."
https://x.com/jairbolsonaro/status/1945893789987635475/photo/1,"BOLSONARO EM 2019: ""Lula, você tava esperando Haddad ser eleito pra assinar o decreto de indulto? Vou te dizer uma coisa: 'vai apodrecer na cadeia'. Agora se humilha esperando que Lula lhe devolva o passaporte pra fingir(vai fugir) que vai ""negociar"" com Trump."
https://x.com/jairbolsonaro/status/1945893789987635475/photo/1,"A pergunta, até quando?"
https://x.com/jairbolsonaro/status/1945120457054626213/photo/1,"Bom Dia, Presidente"
https://x.com/jairbolsonaro/status/1945120457054626213/photo/1,Vem salvar o Brasil mestre ! Me leva junto para tesouraria ! Assim o Brasil vai crescer ! E povo vai voltar a conseguir ganhar dinheiro novamente !
https://x.com/jairbolsonaro/status/1945120457054626213/photo/1,VC NÃO VAI FALA DA PIROCA DO CONNOR ?
https://x.com/jairbolsonaro/status/1945120457054626213/photo/1,Esses corruptos estão pagando pra ver a briga será grande com governo X governo no Estados Unidos. Eu torço que aconteça mesmo isso pra esses corruptos pagarem.
https://x.com/jairbolsonaro/status/1945120457054626213/photo/1,"Bom, nós já avisamos a pelo menos dois anos atrás que esses se estes inquéritos falsos promovidos por bandidos que se dizem cuidadores da democracia de alguma forma prejudicarem o bolsonaro e esse legislativo não fizer a sua obrigação o povo vai tomar as ruas"
https://x.com/jairbolsonaro/status/1945120457054626213/photo/1,"seu babaca, vc reduziu o preço faltando 7 meses pra eleição.  Passou 3 anos falando que não podia fazer nada em relação aos combustíveis."
https://x.com/jairbolsonaro/status/1945120457054626213/photo/1,Vai pra cadeia golpista
https://x.com/jairbolsonaro/status/1945120457054626213/photo/1,"SOMOS TODOS BOLSONARO
SOMOS TODOS BOLSONARO
SOMOS TODOS BOLSONARO
SOMOS TODOS BOLSONARO"
https://x.com/jairbolsonaro/status/1945120457054626213/photo/1,"Nós temos que defender e livrar o Brasil dos tiramos do STF e desse PGR totalmente suspeito. Se livrarmos dessa peste, acaba também com os PeTralhas e com toda corja que estão macumunado em destruir o País, inclusive essa mídia podre. Deus, Pátria, Família e Liberdade!!!"
https://x.com/jairbolsonaro/status/1945120457054626213/photo/1,Somos todos Bolsonaro
