post_url,comment
https://x.com/LulaOficial/status/1960771438945747330/photo/1,Plano Brasil Soberano = NUNCA FALAR DA CORRUPÇÃO DO GOVERNO LULA
https://x.com/LulaOficial/status/1960771438945747330/photo/1,Vai pro inferno.. Demônio
https://x.com/LulaOficial/status/1960771438945747330/photo/1,Tudo que precisava pro Brasil melhorar
https://x.com/LulaOficial/status/1960771438945747330/photo/1,"E a Cecília que viajou com 31 malas ? A receita federal liberou, a PF que investiga o desvio do INSS é a mesma, quem foi de dentro que deixou? Vai passar na TV?"
https://x.com/LulaOficial/status/1960771438945747330/photo/1,Ladrão
https://x.com/LulaOficial/status/1960771438945747330/photo/1,"Brazil is a narco-dictatorship.
@realDonaldTrump"
https://x.com/LulaOficial/status/1960771438945747330/photo/1,"VERME ASQUEROSO DEMENTE VAGABUNDO, TERRORISTA CACHACEIRO MENTIROSO DO CARALHO!!! O BRASIL NÃO TE AGUENTA MAIS!!!"
https://x.com/LulaOficial/status/1960771438945747330/photo/1,Deve ter maracutaia como tudo q essa corja poē a mao fartando dedu kkkkkk
https://x.com/LulaOficial/status/1960771438945747330/photo/1,Tu é o cara o melhor presidente do Brasil
https://x.com/LulaOficial/status/1960771438945747330/photo/1,A ptralhada se mija todab
https://x.com/LulaOficial/status/1961484798335103476/photo/1,"Não repetir os erros do passado? Eu ri dessa matéria como se o PT, PMDB e PSDB não tivessem culpa desse atraso em vários programas. Superfaturam muito dessas obras e escândalos de corrupção pelo país que foram acometidos sobre o PAC. Agora, vocês do PT vão deixar de roubar?"
https://x.com/LulaOficial/status/1961484798335103476/photo/1,Fora Lula
https://x.com/LulaOficial/status/1960022625767571555/photo/1,Esse pode sair na foto né? E pr€t0 maia tem dentes. R@ci$t@
https://x.com/LulaOficial/status/1960022625767571555/photo/1,"Por favor, receba de novo o ""democratico, visinho venezuelano, em solo nacional. Tu já mandou buscar uma ex-primeira dama do Peru, então mande outro FAB, trazer o seu amigão Nicolás Maduro, de longa data""."
https://x.com/LulaOficial/status/1960022625767571555/photo/1,LULA RACISTA
https://x.com/LulaOficial/status/1960022625767571555/photo/1,Foi honra só porque tem dente né??
https://x.com/LulaOficial/status/1960022625767571555/photo/1,Esse aí tem dente né kkkk
https://x.com/LulaOficial/status/1960022625767571555/photo/1,"Contagem regressiva, Ze Pilantra!!"
https://x.com/LulaOficial/status/1960022625767571555/photo/1,Kkkkkk pra passar um pano pro seu racismo agora precisa ter fotinho com líder preto
https://x.com/LulaOficial/status/1960022625767571555/photo/1,Esse aí tem dente? Vagabundo
https://x.com/LulaOficial/status/1960022625767571555/photo/1,"anão diplomatico, ditador de merda"
https://x.com/LulaOficial/status/1960022625767571555/photo/1,"Gosto do Lula,tenho um compromisso militante a favor dele. E olha que moro em Sorocaba, hein. Tento,expor suas ações, não defendê-lo ele não precisa de defesa, com a força de alma que tem. Não digo o mesmo de seu partido, que, assim como os boslokes, não permite ninguém de fora."
https://x.com/LulaOficial/status/1959979752342585678/photo/1,"@grok
 enquanto esse governo corrupto tenta mostrar algo positivo com relacoes com este pais que é extremamente corrupto, mostre a inportancia e a relevancia entre uma boa relação com os eua comparado com um pais pobre, corrupto e tomado por ladroes e bandidoa"
https://x.com/LulaOficial/status/1959979752342585678/photo/1,Que maravilhaaa!!!
https://x.com/LulaOficial/status/1959979752342585678/photo/1,"Esse pelo menos tem dente né 
@grok
 …"
https://x.com/LulaOficial/status/1959979752342585678/photo/1,Sorte que esse ai tem dente
https://x.com/LulaOficial/status/1959979752342585678/photo/1,"@grok
 , É VERDADE QUE Bola Tinubu lidera a lista das Pessoas Mais Corruptas e Organizadas do Ano de 2024?"
