post_url,post_content,comment
https://x.com/mauro_davi6/status/1939422509360664658,GOOOOOOOOOOOOOOOOOOOOLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL é o FRAMENGOOOOOOOOOOOOOOOOOOOOOOO,Pra quem fez faculdade em escrever Framengo é sacanagem
https://x.com/mauro_davi6/status/1939422509360664658,GOOOOOOOOOOOOOOOOOOOOLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL é o FRAMENGOOOOOOOOOOOOOOOOOOOOOOO,Quem fez o gol?
https://x.com/mauro_davi6/status/1944481824132186170/photo/2,Estilo neurótico,bandido de terno? ja vi aos montes menó
https://x.com/mauro_davi6/status/1944481824132186170/photo/2,Estilo neurótico,Estão lindos sssiiimmmm.O resto é só inveja do povo  mesmo!
https://x.com/mauro_davi6/status/1944481824132186170/photo/2,Estilo neurótico,essa mulher é bizarra de linda
https://x.com/mauro_davi6/status/1944481824132186170/photo/2,Estilo neurótico,eu amo que ela é pura eleganciaaaaaa
https://x.com/mauro_davi6/status/1944481824132186170/photo/2,Estilo neurótico,a mulher mais gata do brasil é a fefeu
https://x.com/mauro_davi6/status/1944481824132186170/photo/2,Estilo neurótico,"Inimiga da CLT... 

Inacreditável o q umas mulheres se submetem p não ter q trabalhar, tudo por uma vida de luxo, mesmo q tenha q dar p um viciado desse e ainda fingir."
https://x.com/mauro_davi6/status/1944481824132186170/photo/2,Estilo neurótico,"Olhem essa mulher, olhe esse crápula"
https://x.com/mauro_davi6/status/1944481824132186170/photo/2,Estilo neurótico,cade o papai?
https://x.com/mauro_davi6/status/1947073489178862002/photo/1,,Como você pode ser tão feio ?? Que ódio
https://x.com/mauro_davi6/status/1947073489178862002/photo/1,,.
https://x.com/mauro_davi6/status/1947073489178862002/photo/1,,"Sim, oportunidade rara de valor real. Seu impacto brilha no Kaito eco agora."
https://x.com/mauro_davi6/status/1947073489178862002/photo/1,,"Jair , venceu mais uma , novamente"
https://x.com/mauro_davi6/status/1947073489178862002/photo/1,,Ela vai estar esperando você e o marginal do seu pai no colo do CAPETA
https://x.com/mauro_davi6/status/1939724359259521044,Brabo,"No caso aqui é o Oruam ou Mauro me elogiando? Kkkkkkkkk valeu cria, fumar 70 de ice com flor na estrela da Penha qualquer dia"
https://x.com/mauro_davi6/status/1939724359259521044,Brabo,to sem mistura em casa mas o chip do macaco segue travado
https://x.com/mauro_davi6/status/1939724359259521044,Brabo,"fortalece os 100 do ice aí Mauro… já vendi tudo q tinha aqui em casa, tá foda"
https://x.com/mauro_davi6/status/1939724359259521044,Brabo,faz o pix da intera do ice ae maurin
https://x.com/mauro_davi6/status/1939724359259521044,Brabo,"Como se fosse fácil pro mlk da favela viver fumando ice né kkk bag eh caro, eu gasto uns mil por semana"
https://x.com/mauro_davi6/status/1939422321942335644,É o Flamengo porra é o coringa,Tmnc Oruam vc é torcedor modinha antes de ficar famoso nem ligava uma televisão pra ver futebol  quer mamar o Gerson agora
https://x.com/mauro_davi6/status/1939422321942335644,É o Flamengo porra é o coringa,"Não fode cara, não fode"
https://x.com/mauro_davi6/status/1939422321942335644,É o Flamengo porra é o coringa,Sai da Hello kitty
